ID,group,S_om2,S_al,S_rho,T_om2,T_al,T_rho
10369536,A,-2.95290202371979,0.523719088990946,0.0659241259995185,-2.7021752025025,0.809923522774501,0.0406285796402326
10369701,A,-2.72716350576044,0.586200100377213,-0.0231251410725056,-1.81050022205627,0.12600241979882,-0.143239095471057
10369772,A,-1.7474297693822,1.24567698614687,0.00070440861339844,-1.91957710206989,1.0075839771206,0.0837340739901187
10369779,A,-1.51601022325627,1.00770911878274,0.0628842786538218,-2.25051818549499,0.535498634503788,0.0662783800120647
10369781,A,-3.07051223383612,0.76109007057355,0.0263885158399018,-0.118805742364333,0.845253187051571,0.0455524248877368
10369795,A,-1.46139020907596,1.36557502759321,0.0210427156032528,-2.49916927267034,0.614338331154871,0.0665723992509052
10369812,A,-1.49307064709174,1.6720671609603,-0.050620491501863,-1.4768177729656,0.845014340132056,0.125782200767552
10369815,A,-2.20291606900083,0.593369220337303,0.0795469598674865,-1.67616597626961,0.849552966419576,0.00773020846988698
10369821,A,-0.864868402209877,1.93182024346633,-0.018603758702349,-1.540063407218,0.789661541786642,0.224658086086305
10369833,A,-1.81380262781355,0.855048716169023,0.0922712837345448,-0.583085018482862,0.912191283695315,0.0636273966517662
10369836,A,-1.93640064049593,0.88863841134212,-0.0518716577445358,-0.080413411321151,0.817474333610364,-0.19312846418827
10369838,A,-2.39318200037052,1.25114102952785,0.0899678041177104,0.0140571433165922,1.05347523571044,0.0189338570262014
10369844,A,-0.950281955180882,1.96192784583,-0.0533307043002906,-0.783308177486247,1.29329003360633,-0.100789349214761
10369854,A,-0.550648808728524,0.663073367860528,0.0466435089807616,-1.5966551905006,0.691264868780502,-0.0205115018896842
10369855,A,-2.05502195940472,0.490848922544131,-0.0768553942315573,-1.00035342696262,0.743247282158259,0.122883543997248
10369881,A,-1.74355644176375,0.994595006433258,0.053128127460585,-2.01935015741489,0.701038324049807,-0.108880653611417
10369924,A,-3.0088086981179,0.929236269249257,0.0544743256739878,-0.176550888275711,0.0441807270320947,-0.242623205748058
10369935,A,-2.30164458077402,1.66018524824403,-0.0112472150308062,-1.47371509797805,0.88651361419294,-0.0100282545008065
10370011,A,-1.82981999883733,0.637940332343076,-0.0575756144486944,-2.77073557576505,0.0176040896879481,-0.185487965189459
10370042,A,0.0104638264637088,1.01799343038487,0.234364011908085,0.0734164303615489,0.744217640219301,0.0927755836501435
10370097,A,-2.71452026680404,0.56535618879336,0.0638336367562707,-1.0239593322278,1.05568481152372,0.231735927901378
10370100,A,-2.73393838330689,0.679378729659173,0.0124960947123265,-1.11145715781355,1.43566293072803,0.0731756160163086
10370108,A,-2.5796931192155,0.70723105712257,0.058961589309529,-2.59967091935254,0.533010547466951,0.114898054506252
10370132,A,-2.11166535960252,0.867727375367294,-0.0155172551541612,-1.59178420658779,0.641077328848512,0.165125900912829
10370470,A,-2.86343933942316,0.69052792016324,-0.0280265145446395,-0.576811865691116,4.21291979587611,-0.0151807787323999
10370626,A,-2.11989818814804,1.18859935092345,0.051647321340226,-1.71114308136168,0.645448746228194,-0.0213796416630473
10370698,A,-1.93918681559522,0.84357225615732,0.0111278956542911,-1.55217717194915,0.779721949543286,-0.0221639759468673
10371655,A,-1.6557788898637,0.994474827826172,0.185188833673424,-2.68670351058934,0.653819902436803,0.124706609671305
10391960,A,-2.47824580423459,1.02601503653282,0.146495650406315,-1.59690884435199,1.01348389782733,0.104484817499014
