Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,1169.10000002384,1,High,511.300000071526
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,477.600000023842,1,High,675.600000023842
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,260.399999976158,1,High,258.799999952316
4,1,0.75,E,0,High,0,Happy,20,0,Happy,503.700000047684,1,High,199.299999952316
5,1,0.75,E,0,High,0,Happy,0,0,Happy,391.399999976158,1,High,267.200000047684
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,566.200000047684,1,High,257
7,1,0.75,E,1,Low,1,Sad,60,0,Happy,852.800000071526,0,Low,203.600000023842
8,1,0.75,E,0,High,0,Happy,20,0,Happy,317.799999952316,1,High,223.699999928474
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,447.799999952316,1,High,931.600000023842
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,604,1,High,267.5
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,404.700000047684,1,High,534.5
12,1,0.75,E,0,High,0,Happy,40,0,Happy,580.899999976158,0,Low,396.100000023842
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,696.899999976158,1,High,253.700000047684
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,628.699999928474,1,High,203.899999976158
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,414.799999952316,1,High,307
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,679.299999952316,0,Low,228.600000023842
17,1,0.75,E,0,High,0,Happy,0,0,Happy,643.200000047684,1,High,193.600000023842
18,1,0.75,E,0,High,0,Happy,20,0,Happy,325.799999952316,1,High,243.200000047684
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,496.600000023842,1,High,313
20,1,0.75,E,0,High,0,Happy,0,0,Happy,608.199999928474,1,High,216.800000071526
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,784.299999952316,1,High,757.600000023842
22,1,0.75,E,0,High,0,Happy,20,0,Happy,1085.29999995232,1,High,247.199999928474
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,663.199999928474,0,Low,263.299999952316
24,1,0.75,E,0,High,0,Happy,40,1,Sad,719,1,High,270.100000023842
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,399.399999976158,1,High,273.5
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,711.300000071526,0,Low,331.100000023842
27,1,0.75,E,0,High,0,Happy,0,0,Happy,1048.89999997616,1,High,212.700000047684
28,1,0.75,E,0,High,0,Happy,0,0,Happy,679.899999976158,1,High,200.100000023842
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,1119.29999995232,1,High,770.300000071526
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,796.799999952316,1,High,209.099999904633
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,572.900000095367,1,High,191.400000095367
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,518.300000071526,1,High,240
33,1,0.75,E,0,High,0,Happy,40,0,Happy,618.199999928474,1,High,202.600000023842
34,1,0.75,E,0,High,0,Happy,40,0,Happy,380.399999976158,1,High,260
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,597.5,1,High,304.799999952316
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,385.100000023842,1,High,274.899999976158
37,1,0.75,E,0,High,0,Happy,40,1,Sad,932.199999928474,0,Low,207.799999952316
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,295.300000071526,1,High,231.799999952316
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,332.800000071526,1,High,388.100000023842
40,1,0.75,E,0,High,0,Happy,40,1,Sad,261.399999976158,1,High,273.600000023842
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,648.899999976158,1,High,173.899999976158
42,1,0.75,E,0,High,0,Happy,20,0,Happy,275.899999976158,1,High,250.899999976158
43,1,0.75,E,1,Low,1,Sad,100,0,Happy,2172.10000002384,0,Low,362.199999928474
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,579.600000023842,1,High,532
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,364,1,High,243.700000047684
46,1,0.75,E,0,High,0,Happy,0,1,Sad,375.800000071526,0,Low,765
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,761.100000023842,1,High,257.5
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,547.5,1,High,279.300000071526
49,1,0.75,E,0,High,0,Happy,0,0,Happy,535,1,High,243.900000095367
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,1185,0,Low,248.400000095367
51,1,0.75,E,0,High,0,Happy,20,0,Happy,578.099999904633,1,High,214.899999976158
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,1279.89999997616,0,Low,231.199999928474
