Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,2898.60000038147,0,Low,481.300001144409
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,794.799999237061,1,High,330.400001525879
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,737.699998855591,1,High,290.400001525879
4,1,0.75,E,0,High,0,Happy,20,0,Happy,523.10000038147,1,High,282.200000762939
5,1,0.75,E,0,High,0,Happy,0,0,Happy,380.89999961853,1,High,218.89999961853
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,454.800001144409,1,High,322.700000762939
7,1,0.75,E,1,Low,1,Sad,60,0,Happy,1384.5,0,Low,458.799999237061
8,1,0.75,E,0,High,0,Happy,20,0,Happy,401.299999237061,1,High,218.5
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,1048.39999961853,1,High,218.60000038147
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,434.10000038147,1,High,242.5
11,1,0.75,E,1,Low,1,Sad,60,0,Happy,1068,1,High,754.60000038147
12,1,0.75,E,0,High,0,Happy,40,0,Happy,469.39999961853,1,High,194.599998474121
13,1,0.75,E,1,Low,1,Sad,60,0,Happy,703,1,High,194.799999237061
14,1,0.75,E,1,Low,1,Sad,60,0,Happy,544.5,1,High,186.60000038147
15,1,0.75,E,1,Low,1,Sad,60,0,Happy,435.699998855591,1,High,177.60000038147
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,1409.39999961853,0,Low,418.799999237061
17,1,0.75,E,0,High,0,Happy,0,0,Happy,1320.70000076294,1,High,218.300001144409
18,1,0.75,E,0,High,0,Happy,20,0,Happy,359,1,High,194.89999961853
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,648.5,1,High,250.700000762939
20,1,0.75,E,0,High,0,Happy,0,0,Happy,530.400001525879,1,High,235
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,406.799999237061,1,High,330.299999237061
22,1,0.75,E,0,High,0,Happy,20,0,Happy,422.10000038147,1,High,210.599998474121
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,1346.20000076294,0,Low,370.800001144409
24,1,0.75,E,0,High,0,Happy,40,0,Happy,461.89999961853,1,High,218.700000762939
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,491.39999961853,1,High,235
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,540.39999961853,1,High,266.799999237061
27,1,0.75,E,0,High,0,Happy,0,0,Happy,307.89999961853,1,High,210.700000762939
28,1,0.75,E,0,High,0,Happy,0,0,Happy,319.89999961853,1,High,219.10000038147
29,1,0.75,E,1,Low,1,Sad,60,0,Happy,705.39999961853,1,High,219.200000762939
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,772.60000038147,1,High,265.799999237061
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,408,1,High,186.39999961853
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,540.400001525879,1,High,258.60000038147
33,1,0.75,E,0,High,0,Happy,40,0,Happy,320.699998855591,1,High,227.099998474121
34,1,0.75,E,0,High,0,Happy,40,0,Happy,279.5,1,High,211
