Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,0,Happy,2266.10000000894,0,Low,1211
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,922.70000000298,1,High,1081
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,585.399999991059,1,High,609.29999999702
4,1,0.75,E,0,High,0,Happy,20,0,Happy,708.70000000298,1,High,502
5,1,0.75,E,0,High,0,Happy,0,0,Happy,484.40000000596,1,High,427.40000000596
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,590.90000000596,1,High,451.899999991059
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,507.29999999702,1,High,454.199999988079
8,1,0.75,E,0,High,0,Happy,20,0,Happy,626.20000000298,1,High,444.5
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,557.90000000596,1,High,468
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,666.600000008941,1,High,453
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,573.90000000596,1,High,453.59999999404
12,1,0.75,E,0,High,0,Happy,40,0,Happy,599.40000000596,1,High,412.09999999404
13,1,0.75,E,1,Low,1,Sad,60,0,Happy,1412.20000000298,1,High,357.100000008941
14,1,0.75,E,1,Low,1,Sad,60,0,Happy,598.5,1,High,462.90000000596
15,1,0.75,E,1,Low,1,Sad,60,0,Happy,816.59999999404,1,High,451.699999988079
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,541.40000000596,1,High,466.100000008941
17,1,0.75,E,0,High,0,Happy,0,0,Happy,596.5,1,High,427.899999991059
18,1,0.75,E,0,High,0,Happy,20,0,Happy,411.59999999404,1,High,487.79999999702
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,526.5,1,High,479.399999991059
20,1,0.75,E,0,High,0,Happy,0,0,Happy,487.70000000298,1,High,455.90000000596
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,540.199999988079,1,High,461.90000000596
22,1,0.75,E,0,High,0,Happy,20,0,Happy,1030.89999999106,1,High,439.5
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,543.79999999702,1,High,448.90000000596
24,1,0.75,E,0,High,0,Happy,40,0,Happy,757.70000000298,1,High,384.90000000596
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,532.5,1,High,449.79999999702
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,553.79999999702,1,High,425.09999999404
27,1,0.75,E,0,High,0,Happy,0,0,Happy,668,1,High,415.5
28,1,0.75,E,0,High,0,Happy,0,0,Happy,498.20000000298,1,High,412.29999999702
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,528.20000000298,1,High,421.90000000596
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,544.40000000596,1,High,453.59999999404
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,459.09999999404,1,High,372.59999999404
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,514.600000008941,1,High,434.79999999702
33,1,0.75,E,0,High,0,Happy,40,0,Happy,495.5,1,High,386.09999999404
34,1,0.75,E,0,High,0,Happy,40,0,Happy,483.20000000298,1,High,364.20000000298
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,465.5,1,High,380.90000000596
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,596.09999999404,1,High,375.29999999702
37,1,0.75,E,0,High,0,Happy,40,0,Happy,475.09999999404,1,High,370
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,527.399999991059,1,High,417.5
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,625.399999991059,1,High,375.5
40,1,0.75,E,0,High,0,Happy,40,0,Happy,472.70000000298,1,High,365.40000000596
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,430.90000000596,1,High,359.59999999404
42,1,0.75,E,0,High,0,Happy,20,0,Happy,372.59999999404,1,High,389.5
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,501.699999988079,1,High,382.90000000596
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,481.5,1,High,386.300000011921
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,364.5,1,High,429.90000000596
46,1,0.75,E,0,High,0,Happy,0,0,Happy,507.199999988079,1,High,381
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,460.5,1,High,427.800000011921
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,617.20000000298,1,High,332.59999999404
49,1,0.75,E,0,High,0,Happy,0,0,Happy,414.40000000596,1,High,428
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,426.100000008941,1,High,356.600000008941
51,1,0.75,E,0,High,0,Happy,20,0,Happy,396.300000011921,1,High,369.20000000298
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,448.70000000298,1,High,378.20000000298
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,505.399999991059,1,High,393.79999999702
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,553.20000000298,1,High,441.40000000596
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,594.79999999702,1,High,431
56,1,0.75,E,0,High,0,Happy,0,0,Happy,673.59999999404,1,High,403.199999988079
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,452,1,High,439.5
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,540.600000008941,1,High,550.79999999702
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,456.59999999404,1,High,560.90000000596
60,1,0.75,E,0,High,0,Happy,20,0,Happy,471.79999999702,1,High,414.90000000596
61,1,0.75,UE,1,Low,0,Happy,40,0,Happy,789.40000000596,1,High,440.899999991059
62,1,0.75,UE,1,Low,0,Happy,20,0,Happy,429.79999999702,1,High,461.899999991059
63,1,0.75,E,0,High,0,Happy,20,0,Happy,369.29999999702,1,High,496.899999991059
64,1,0.75,E,1,Low,1,Sad,60,1,Sad,1348,1,High,392.79999999702
65,1,0.75,E,0,High,0,Happy,40,0,Happy,673.40000000596,1,High,468.70000000298
66,1,0.75,E,1,Low,1,Sad,80,1,Sad,619.20000000298,1,High,418.20000000298
67,1,0.75,UE,1,Low,0,Happy,0,0,Happy,615.29999999702,1,High,431
68,1,0.75,E,0,High,0,Happy,40,0,Happy,678.5,1,High,415.90000000596
69,1,0.75,E,0,High,0,Happy,40,0,Happy,453,1,High,416.29999999702
70,1,0.75,E,0,High,0,Happy,0,0,Happy,458,1,High,430.90000000596
71,1,0.75,UE,1,Low,0,Happy,0,0,Happy,442.59999999404,1,High,478.59999999404
