Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,0,Happy,2013.40000000596,1,High,807.200000017881
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,857.40000000596,0,Low,616.59999999404
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,690.09999999404,0,Low,554.5
4,1,0.75,E,0,High,0,Happy,20,0,Happy,656.199999988079,1,High,707.200000017881
5,1,0.75,E,0,High,0,Happy,0,0,Happy,543.699999988079,1,High,316.90000000596
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,526.90000000596,0,Low,489.5
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,1127.79999998212,0,Low,606.300000011921
8,1,0.75,E,0,High,0,Happy,20,0,Happy,594.09999999404,1,High,311.09999999404
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,698.899999976158,1,High,324.299999982119
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,535.700000017881,0,Low,492.299999982119
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,603.5,0,Low,245.90000000596
12,1,0.75,E,0,High,0,Happy,40,0,Happy,182.699999988079,0,Low,2161.69999998808
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,540.59999999404,0,Low,323.800000011921
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,331.399999976158,0,Low,301.700000017881
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,343.5,0,Low,237.59999999404
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,1389.40000000596,0,Low,568.09999999404
17,1,0.75,E,0,High,0,Happy,0,0,Happy,277.40000000596,1,High,284.40000000596
18,1,0.75,E,0,High,0,Happy,20,0,Happy,297.199999988079,1,High,241
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,283.200000017881,0,Low,270
20,1,0.75,E,0,High,0,Happy,0,0,Happy,348.5,1,High,234.600000023842
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,830.799999982119,0,Low,375.600000023842
22,1,0.75,E,0,High,0,Happy,20,0,Happy,824.59999999404,1,High,729.199999988079
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,645.59999999404,0,Low,306.299999982119
24,1,0.75,E,0,High,0,Happy,40,1,Sad,657.799999982119,0,Low,565.399999976158
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,433.199999988079,1,High,319.300000011921
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,545.799999982119,0,Low,264
27,1,0.75,E,0,High,0,Happy,0,0,Happy,310.800000011921,1,High,201.300000011921
28,1,0.75,E,0,High,0,Happy,0,0,Happy,311.5,1,High,151.5
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,360.299999982119,0,Low,113.799999982119
