Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,NaN,,3999.6,0,,3999.6
2,1,0.75,E,1,Low,1,Sad,100,NaN,,3999.7,0,,3999.6
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,1342.40000009537,0,,3999.9
4,1,0.75,E,0,High,0,Happy,20,NaN,,3999.2,0,,3999.5
5,1,0.75,E,0,High,0,Happy,0,NaN,,3999.9,0,Low,3371.59999990463
6,1,0.75,UE,0,High,1,Sad,100,0,Happy,1002.10000014305,1,High,2163.5
7,1,0.75,E,1,Low,1,Sad,60,0,Happy,568,1,High,1216.5
8,1,0.75,E,0,High,0,Happy,20,0,Happy,542,1,High,747.5
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,500.600000143051,1,High,736.300000190735
10,1,0.75,E,1,Low,1,Sad,100,0,Happy,3293.5,1,High,619.100000143051
11,1,0.75,E,1,Low,1,Sad,60,0,Happy,758.900000095367,1,High,860
12,1,0.75,E,0,High,0,Happy,40,0,Happy,471.600000143051,1,High,541.299999952316
13,1,0.75,E,1,Low,1,Sad,60,0,Happy,494.900000095367,1,High,579.400000095367
14,1,0.75,E,1,Low,1,Sad,60,0,Happy,435.899999856949,1,High,403.700000047684
15,1,0.75,E,1,Low,1,Sad,60,0,Happy,145.199999809265,1,High,527.5
16,1,0.75,UE,0,High,1,Sad,80,0,Happy,217.5,1,High,427.700000047684
17,1,0.75,E,0,High,0,Happy,0,0,Happy,186,1,High,329.399999856949
18,1,0.75,E,0,High,0,Happy,20,0,Happy,325.299999952316,1,High,285.5
19,1,0.75,E,1,Low,1,Sad,80,0,Happy,206.700000047684,1,High,73.2999999523163
20,1,0.75,E,0,High,0,Happy,0,0,Happy,511.5,1,High,338.200000047684
21,1,0.75,UE,0,High,1,Sad,100,0,Happy,151.200000047684,1,High,380.099999904633
22,1,0.75,E,0,High,0,Happy,20,0,Happy,1425.5,1,High,1095.30000019073
23,1,0.75,E,1,Low,1,Sad,60,0,Happy,459.399999856949,1,High,501.5
24,1,0.75,E,0,High,0,Happy,40,0,Happy,235.899999856949,1,High,416
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,94.1000001430511,1,High,330.899999856949
26,1,0.75,E,1,Low,1,Sad,80,0,Happy,55.7999999523163,1,High,313.799999952316
27,1,0.75,E,0,High,0,Happy,0,0,Happy,75,1,High,265.399999856949
28,1,0.75,E,0,High,0,Happy,0,0,Happy,71.5,1,High,292.200000047684
29,1,0.75,E,1,Low,1,Sad,60,0,Happy,201,1,High,339.5
30,1,0.75,E,1,Low,1,Sad,100,0,Happy,73,1,High,221.399999856949
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,26,1,High,241.599999904633
32,1,0.75,UE,0,High,1,Sad,100,0,Happy,486.699999809265,1,High,311
33,1,0.75,E,0,High,0,Happy,40,0,Happy,91.5,1,High,274.799999952316
34,1,0.75,E,0,High,0,Happy,40,0,Happy,563,1,High,613.100000143051
35,1,0.75,E,1,Low,1,Sad,80,0,Happy,637.299999952316,1,High,180.400000095367
36,1,0.75,E,1,Low,1,Sad,60,0,Happy,983.799999952316,1,High,325.799999952316
