Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,3014,1,High,1108
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,726,1,High,418
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,564,1,High,391
4,1,0.75,E,0,High,0,Happy,20,0,Happy,597,1,High,390
5,1,0.75,E,0,High,0,Happy,0,0,Happy,472,1,High,253
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,2076,0,Low,2768
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,1905,1,High,419
8,1,0.75,E,0,High,0,Happy,20,0,Happy,842,1,High,389
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,887,1,High,1593
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,694,1,High,466
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,1140,0,Low,1386
12,1,0.75,E,0,High,0,Happy,40,0,Happy,964,0,Low,364
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,908,0,Low,452
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,581,1,High,445
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,481,1,High,241
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,1601,0,Low,787
17,1,0.75,E,0,High,0,Happy,0,0,Happy,500,1,High,245
18,1,0.75,E,0,High,0,Happy,20,0,Happy,457,1,High,243
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,486,1,High,604
20,1,0.75,E,0,High,0,Happy,0,0,Happy,485,1,High,264
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,1107,0,Low,1012
22,1,0.75,E,0,High,0,Happy,20,0,Happy,528,1,High,268
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,910,0,Low,1000
24,1,0.75,E,0,High,0,Happy,40,0,Happy,2484,0,Low,722
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,611,1,High,1150
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,890,1,High,570
27,1,0.75,E,0,High,0,Happy,0,0,Happy,470,1,High,258
28,1,0.75,E,0,High,0,Happy,0,0,Happy,431,1,High,247
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,1416,1,High,306
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,520,1,High,311
31,1,0.75,UE,1,Low,0,Happy,40,NaN,,3997,NaN,,NaN
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,803,1,High,491
33,1,0.75,E,0,High,0,Happy,40,0,Happy,1003,0,Low,600
34,1,0.75,E,0,High,0,Happy,40,0,Happy,1136,0,Low,478
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,722,1,High,263
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,589,1,High,419
37,1,0.75,E,0,High,0,Happy,40,0,Happy,430,1,High,255
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,1116,0,Low,553
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,1947,0,Low,513
40,1,0.75,E,0,High,0,Happy,40,0,Happy,833,0,Low,360
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,566,1,High,444
42,1,0.75,E,0,High,0,Happy,20,0,Happy,707,1,High,237
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,472,1,High,414
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,591,1,High,553
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,903,1,High,338
46,1,0.75,E,0,High,0,Happy,0,0,Happy,457,1,High,266
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,506,1,High,360
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,660,1,High,368
49,1,0.75,E,0,High,0,Happy,0,0,Happy,492,1,High,262
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,420,1,High,293
51,1,0.75,E,0,High,0,Happy,20,0,Happy,467,1,High,235
52,1,0.75,UE,0,High,1,Sad,60,0,Happy,1386,0,Low,530
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,653,1,High,285
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,452,1,High,275
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,362,1,High,274
56,1,0.75,E,0,High,0,Happy,0,0,Happy,361,1,High,251
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,622,1,High,290
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,719,1,High,306
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,546,1,High,399
60,1,0.75,E,0,High,0,Happy,20,0,Happy,350,1,High,262
61,1,0.75,UE,1,Low,0,Happy,40,0,Happy,395,1,High,236
62,1,0.75,UE,1,Low,0,Happy,20,0,Happy,962,1,High,210
63,1,0.75,E,0,High,0,Happy,20,0,Happy,432,1,High,214
64,1,0.75,E,1,Low,1,Sad,60,1,Sad,840,0,Low,321
65,1,0.75,E,0,High,0,Happy,40,0,Happy,742,0,Low,295
66,1,0.75,E,1,Low,1,Sad,80,1,Sad,490,1,High,324
67,1,0.75,UE,1,Low,0,Happy,0,0,Happy,430,1,High,230
68,1,0.75,E,0,High,0,Happy,40,0,Happy,450,1,High,251
69,1,0.75,E,0,High,0,Happy,40,0,Happy,452,1,High,245
70,1,0.75,E,0,High,0,Happy,0,0,Happy,320,1,High,269
71,1,0.75,UE,1,Low,0,Happy,0,0,Happy,419,1,High,271
72,1,0.75,E,1,Low,1,Sad,60,1,Sad,476,1,High,279
73,1,0.75,E,0,High,0,Happy,40,0,Happy,1263,0,Low,298
74,1,0.75,E,1,Low,1,Sad,100,1,Sad,330,1,High,461
75,1,0.75,E,1,Low,1,Sad,100,1,Sad,393,1,High,793
76,1,0.75,E,0,High,0,Happy,20,0,Happy,539,1,High,223
77,1,0.75,UE,0,High,1,Sad,60,0,Happy,926,0,Low,238
78,1,0.75,E,0,High,0,Happy,0,0,Happy,442,1,High,281
79,1,0.75,E,0,High,0,Happy,40,0,Happy,688,0,Low,322
80,1,0.75,UE,0,High,1,Sad,60,1,Sad,547,0,Low,396
81,1,0.75,E,0,High,0,Happy,40,1,Sad,768,0,Low,319
82,1,0.75,UE,0,High,1,Sad,80,1,Sad,483,1,High,414
83,1,0.75,E,0,High,0,Happy,0,0,Happy,417,1,High,174
84,1,0.75,E,0,High,0,Happy,20,0,Happy,380,1,High,207
85,1,0.75,E,1,Low,1,Sad,100,1,Sad,353,1,High,548
86,1,0.75,E,1,Low,1,Sad,100,1,Sad,378,1,High,286
87,1,0.75,UE,1,Low,0,Happy,40,0,Happy,980,0,Low,617
88,1,0.75,E,1,Low,1,Sad,80,1,Sad,542,1,High,319
89,1,0.75,E,0,High,0,Happy,0,0,Happy,429,1,High,246
90,1,0.75,UE,0,High,1,Sad,60,1,Sad,766,0,Low,463
91,1,0.75,E,1,Low,1,Sad,60,1,Sad,401,0,Low,366
92,1,0.75,E,1,Low,1,Sad,80,1,Sad,391,1,High,213
93,1,0.75,E,0,High,0,Happy,20,0,Happy,426,1,High,200
94,1,0.75,E,0,High,0,Happy,20,0,Happy,1059,1,High,203
95,1,0.75,UE,1,Low,0,Happy,40,0,Happy,509,1,High,215
96,1,0.75,E,1,Low,1,Sad,80,1,Sad,683,1,High,449
97,2,0.25,E,1,Low,0,Happy,0,0,Happy,559,1,High,235
98,2,0.25,UE,1,Low,1,Sad,80,1,Sad,604,1,High,257
99,2,0.25,E,1,Low,0,Happy,40,0,Happy,498,1,High,189
100,2,0.25,E,1,Low,0,Happy,40,0,Happy,422,1,High,258
101,2,0.25,E,0,High,1,Sad,60,1,Sad,612,1,High,413
102,2,0.25,E,1,Low,0,Happy,20,0,Happy,449,1,High,254
103,2,0.25,E,0,High,1,Sad,80,1,Sad,537,1,High,281
104,2,0.25,UE,1,Low,1,Sad,100,1,Sad,517,1,High,291
105,2,0.25,E,1,Low,0,Happy,20,0,Happy,339,1,High,261
106,2,0.25,UE,1,Low,1,Sad,60,1,Sad,1045,0,Low,367
107,2,0.25,UE,0,High,0,Happy,20,0,Happy,378,1,High,202
108,2,0.25,E,0,High,1,Sad,100,1,Sad,477,1,High,335
109,2,0.25,E,1,Low,0,Happy,40,0,Happy,802,1,High,277
110,2,0.25,E,0,High,1,Sad,80,1,Sad,508,1,High,218
111,2,0.25,E,0,High,1,Sad,60,1,Sad,1001,0,Low,309
112,2,0.25,E,1,Low,0,Happy,0,0,Happy,407,1,High,167
113,2,0.25,UE,0,High,0,Happy,40,0,Happy,399,1,High,182
114,2,0.25,E,0,High,1,Sad,80,1,Sad,516,1,High,238
115,2,0.25,E,0,High,1,Sad,100,1,Sad,365,1,High,211
116,2,0.25,E,0,High,1,Sad,60,1,Sad,637,1,High,300
117,2,0.25,E,1,Low,0,Happy,0,0,Happy,437,1,High,190
118,2,0.25,E,1,Low,0,Happy,20,0,Happy,432,1,High,156
119,2,0.25,UE,0,High,0,Happy,0,0,Happy,388,1,High,161
120,2,0.25,E,0,High,1,Sad,100,1,Sad,575,1,High,284
121,3,0.75,E,0,High,0,Happy,0,0,Happy,445,1,High,176
122,3,0.75,E,0,High,0,Happy,40,0,Happy,460,1,High,199
123,3,0.75,E,0,High,0,Happy,0,0,Happy,348,1,High,193
124,3,0.75,E,1,Low,1,Sad,80,1,Sad,434,1,High,198
125,3,0.75,E,1,Low,1,Sad,60,1,Sad,347,1,High,259
126,3,0.75,UE,0,High,1,Sad,100,1,Sad,580,1,High,249
127,3,0.75,E,0,High,0,Happy,20,0,Happy,359,1,High,184
128,3,0.75,E,0,High,0,Happy,40,0,Happy,1146,0,Low,255
129,3,0.75,UE,1,Low,0,Happy,20,0,Happy,413,1,High,214
130,3,0.75,E,1,Low,1,Sad,100,1,Sad,381,1,High,206
131,3,0.75,E,0,High,0,Happy,40,1,Sad,1356,0,Low,299
132,3,0.75,UE,1,Low,0,Happy,40,0,Happy,1202,0,Low,238
133,3,0.75,UE,0,High,1,Sad,60,1,Sad,1205,0,Low,295
134,3,0.75,E,1,Low,1,Sad,80,1,Sad,459,1,High,255
135,3,0.75,E,1,Low,1,Sad,60,1,Sad,292,1,High,233
136,3,0.75,E,1,Low,1,Sad,60,1,Sad,382,1,High,277
137,3,0.75,E,1,Low,1,Sad,100,1,Sad,560,1,High,235
138,3,0.75,UE,0,High,1,Sad,80,1,Sad,485,1,High,218
139,3,0.75,E,0,High,0,Happy,20,0,Happy,422,1,High,165
140,3,0.75,E,1,Low,1,Sad,80,1,Sad,529,1,High,192
141,3,0.75,E,1,Low,1,Sad,100,1,Sad,336,1,High,194
142,3,0.75,E,0,High,0,Happy,0,0,Happy,296,1,High,164
143,3,0.75,UE,1,Low,0,Happy,0,0,Happy,333,1,High,210
144,3,0.75,E,0,High,0,Happy,20,0,Happy,369,1,High,202
145,4,0.25,E,1,Low,0,Happy,0,0,Happy,478,1,High,211
146,4,0.25,E,1,Low,0,Happy,20,0,Happy,493,1,High,176
147,4,0.25,UE,1,Low,1,Sad,80,1,Sad,341,1,High,196
148,4,0.25,UE,0,High,0,Happy,40,0,Happy,833,0,Low,344
149,4,0.25,E,0,High,1,Sad,80,1,Sad,500,0,Low,541
150,4,0.25,E,0,High,1,Sad,60,1,Sad,1029,0,Low,275
151,4,0.25,E,1,Low,0,Happy,0,0,Happy,484,1,High,141
152,4,0.25,E,0,High,1,Sad,80,1,Sad,809,1,High,183
153,4,0.25,E,1,Low,0,Happy,40,1,Sad,1510,0,Low,339
154,4,0.25,E,0,High,1,Sad,100,1,Sad,573,1,High,269
155,4,0.25,E,0,High,1,Sad,100,1,Sad,648,1,High,228
156,4,0.25,E,0,High,1,Sad,80,1,Sad,278,1,High,209
157,4,0.25,E,1,Low,0,Happy,20,0,Happy,360,1,High,127
158,4,0.25,UE,0,High,0,Happy,20,0,Happy,395,1,High,132
159,4,0.25,E,0,High,1,Sad,60,1,Sad,979,0,Low,767
160,4,0.25,E,1,Low,0,Happy,40,0,Happy,518,0,Low,904
161,4,0.25,E,1,Low,0,Happy,0,0,Happy,347,1,High,124
162,4,0.25,UE,1,Low,1,Sad,60,1,Sad,1188,0,Low,744
163,4,0.25,E,0,High,1,Sad,100,1,Sad,549,1,High,173
164,4,0.25,E,0,High,1,Sad,60,1,Sad,888,0,Low,718
165,4,0.25,UE,0,High,0,Happy,0,1,Sad,297,0,Low,1130
166,4,0.25,E,1,Low,0,Happy,40,0,Happy,1373,0,Low,163
167,4,0.25,E,1,Low,0,Happy,20,0,Happy,548,1,High,120
168,4,0.25,UE,1,Low,1,Sad,100,1,Sad,536,1,High,203
169,5,0.75,E,0,High,0,Happy,20,0,Happy,435,1,High,153
170,5,0.75,UE,0,High,1,Sad,60,1,Sad,1331,0,Low,458
171,5,0.75,E,0,High,0,Happy,0,0,Happy,400,1,High,106
172,5,0.75,E,0,High,0,Happy,40,0,Happy,979,0,Low,276
173,5,0.75,E,1,Low,1,Sad,60,0,Happy,942,0,Low,283
174,5,0.75,E,1,Low,1,Sad,80,1,Sad,297,1,High,153
175,5,0.75,E,1,Low,1,Sad,60,1,Sad,900,0,Low,626
176,5,0.75,E,0,High,0,Happy,20,0,Happy,416,1,High,100
177,5,0.75,E,1,Low,1,Sad,100,1,Sad,675,1,High,158
178,5,0.75,UE,1,Low,0,Happy,0,0,Happy,512,1,High,158
179,5,0.75,E,0,High,0,Happy,20,0,Happy,288,1,High,142
180,5,0.75,UE,1,Low,0,Happy,40,0,Happy,947,0,Low,383
181,5,0.75,E,1,Low,1,Sad,60,1,Sad,1012,0,Low,387
182,5,0.75,E,0,High,0,Happy,40,0,Happy,794,0,Low,367
183,5,0.75,E,1,Low,1,Sad,80,1,Sad,464,1,High,248
184,5,0.75,E,1,Low,1,Sad,80,1,Sad,1216,1,High,680
