Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,2242.5,1,High,648.900000035763
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,749.099999964237,1,High,321.599999964237
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,370.699999988079,1,High,276.699999988079
4,1,0.75,E,0,High,0,Happy,20,0,Happy,1127.19999998808,1,High,284
5,1,0.75,E,0,High,0,Happy,0,0,Happy,3036.69999998808,1,High,255.399999976158
6,1,0.75,UE,0,High,1,Sad,100,0,Happy,2190.19999998808,0,Low,1130.80000001192
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,503.300000011921,1,High,356.099999964237
8,1,0.75,E,0,High,0,Happy,20,0,Happy,874.699999988079,1,High,382.400000035763
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,570,1,High,214.199999988079
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,467.699999988079,1,High,224
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,1706.5,0,Low,386.599999964237
12,1,0.75,E,0,High,0,Happy,40,0,Happy,533.199999988079,1,High,207.900000035763
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,1313.90000003576,0,Low,480.5
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,527.5,0,Low,637.899999976158
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,538,1,High,261.300000011921
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,1009.09999996424,1,High,889.199999988079
17,1,0.75,E,0,High,0,Happy,0,0,Happy,529.300000011921,1,High,233.700000047684
18,1,0.75,E,0,High,0,Happy,20,0,Happy,432.899999976158,1,High,245.199999988079
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,669.699999988079,1,High,801.799999952316
20,1,0.75,E,0,High,0,Happy,0,0,Happy,545.100000023842,1,High,327.899999976158
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,1258.80000001192,1,High,327.100000023842
22,1,0.75,E,0,High,0,Happy,20,0,Happy,892.199999988079,1,High,434.799999952316
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,499.200000047684,1,High,221.900000035763
24,1,0.75,E,0,High,0,Happy,40,1,Sad,1499.60000002384,0,Low,549.699999988079
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,567.899999976158,1,High,254.900000035763
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,423.899999976158,1,High,207.099999964237
27,1,0.75,E,0,High,0,Happy,0,0,Happy,529.800000011921,1,High,200.399999976158
28,1,0.75,E,0,High,0,Happy,0,0,Happy,365.300000011921,1,High,240.199999988079
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,517.699999988079,1,High,550.5
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,503.600000023842,1,High,214.800000011921
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,1140.89999997616,1,High,211.399999976158
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,1145.10000002384,1,High,234.199999988079
33,1,0.75,E,0,High,0,Happy,40,0,Happy,1154,1,High,238.699999988079
34,1,0.75,E,0,High,0,Happy,40,0,Happy,856,0,Low,304.800000011921
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,896.699999988079,1,High,592.699999988079
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,935.199999988079,1,High,421.900000035763
37,1,0.75,E,0,High,0,Happy,40,0,Happy,1762.90000003576,0,Low,368
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,697.599999964237,1,High,853.899999976158
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,764.199999988079,0,Low,1003.80000001192
40,1,0.75,E,0,High,0,Happy,40,0,Happy,1005.59999996424,1,High,714.100000023842
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,492.299999952316,1,High,268.5
42,1,0.75,E,0,High,0,Happy,20,0,Happy,428.699999988079,1,High,215
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,1280.20000004768,1,High,355.199999988079
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,628.600000023842,1,High,221.100000023842
45,1,0.75,E,1,Low,1,Sad,100,0,Happy,2230.60000002384,0,Low,800.200000047684
46,1,0.75,E,0,High,0,Happy,0,0,Happy,584.400000035763,1,High,194.799999952316
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,477.800000011921,1,High,291.100000023842
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,452.5,1,High,199
49,1,0.75,E,0,High,0,Happy,0,0,Happy,459,1,High,192.900000035763
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,414.099999964237,1,High,502.100000023842
51,1,0.75,E,0,High,0,Happy,20,0,Happy,406.300000011921,1,High,223.199999988079
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,679.899999976158,0,Low,1063.19999998808
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,512.299999952316,1,High,211
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,654.399999976158,1,High,375.5
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,914.800000011921,1,High,442.699999988079
56,1,0.75,E,0,High,0,Happy,0,0,Happy,577.399999976158,1,High,210.899999976158
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,302.699999988079,0,Low,596.699999988079
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,398.300000011921,1,High,291.600000023842
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,571.5,1,High,323.699999988079
60,1,0.75,E,0,High,0,Happy,20,0,Happy,535.400000035763,1,High,233.099999964237
