Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,1425.60000000009,1,High,617.399999999907
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,266.5,1,High,132
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,283.899999999907,1,High,632.799999999814
4,1,0.75,E,0,High,0,Happy,20,0,Happy,339.5,1,High,116.5
5,1,0.75,E,0,High,0,Happy,0,0,Happy,224.200000000186,1,High,121.100000000093
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,337.799999999814,1,High,814
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,356.399999999907,0,Low,585.600000000093
8,1,0.75,E,0,High,0,Happy,20,1,Sad,223.599999999627,0,Low,894
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,367.699999999721,1,High,144.899999999907
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,657.200000000186,1,High,193.5
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,613.199999999721,0,Low,180.600000000093
12,1,0.75,E,0,High,0,Happy,40,0,Happy,579.899999999907,0,Low,336.799999999814
13,1,0.75,E,1,Low,1,Sad,60,0,Happy,653.100000000093,0,Low,141.299999999814
14,1,0.75,E,1,Low,1,Sad,60,0,Happy,507.200000000186,0,Low,124.699999999721
15,1,0.75,E,1,Low,1,Sad,60,0,Happy,444.899999999907,0,Low,176.899999999907
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,528.799999999814,0,Low,168.399999999907
17,1,0.75,E,0,High,0,Happy,0,0,Happy,357.299999999814,1,High,160.699999999721
18,1,0.75,E,0,High,0,Happy,20,0,Happy,249.100000000093,1,High,112.700000000186
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,1498.69999999972,0,Low,192.799999999814
20,1,0.75,E,0,High,0,Happy,0,0,Happy,289.699999999721,1,High,232.600000000093
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,238.199999999721,1,High,213.600000000093
22,1,0.75,E,0,High,0,Happy,20,0,Happy,344.299999999814,1,High,176.800000000279
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,498.5,0,Low,196.200000000186
24,1,0.75,E,0,High,0,Happy,40,0,Happy,406.299999999814,1,High,861.699999999721
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,751,1,High,161.299999999814
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,829.299999999814,0,Low,153.600000000093
27,1,0.75,E,0,High,0,Happy,0,0,Happy,342.5,1,High,121.299999999814
28,1,0.75,E,0,High,0,Happy,0,0,Happy,331.899999999907,1,High,121.199999999721
29,1,0.75,E,1,Low,1,Sad,60,0,Happy,835.600000000093,0,Low,136.800000000279
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,382.600000000093,1,High,181.100000000093
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,537.5,0,Low,328.799999999814
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,608.5,1,High,173
33,1,0.75,E,0,High,0,Happy,40,0,Happy,1001.89999999991,0,Low,136.699999999721
34,1,0.75,E,0,High,0,Happy,40,0,Happy,400.899999999907,0,Low,122.099999999627
35,1,0.75,E,1,Low,1,Sad,80,0,Happy,412,0,Low,504.599999999627
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,412.899999999907,0,Low,180.700000000186
37,1,0.75,E,0,High,0,Happy,40,0,Happy,1360.60000000009,0,Low,337.199999999721
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,620.599999999627,0,Low,136.599999999627
39,1,0.75,E,1,Low,1,Sad,60,0,Happy,389.600000000093,0,Low,189.199999999721
40,1,0.75,E,0,High,0,Happy,40,0,Happy,589.200000000186,0,Low,129.899999999907
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,485,1,High,140.399999999907
42,1,0.75,E,0,High,0,Happy,20,0,Happy,382.800000000279,1,High,148.5
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,328.799999999814,1,High,240.5
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,224.699999999721,1,High,148.600000000093
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,337.699999999721,1,High,144.899999999907
46,1,0.75,E,0,High,0,Happy,0,0,Happy,338.200000000186,1,High,121.799999999814
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,1021.40000000037,0,Low,148.700000000186
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,385,1,High,129.399999999907
49,1,0.75,E,0,High,0,Happy,0,0,Happy,224,1,High,124.700000000186
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,532.300000000279,1,High,221.800000000279
51,1,0.75,E,0,High,0,Happy,20,0,Happy,288.5,1,High,201.399999999907
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,557.700000000186,1,High,452.100000000093
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,328,1,High,121.400000000373
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,675.5,1,High,287
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,774.299999999814,0,Low,692.200000000186
56,1,0.75,E,0,High,0,Happy,0,0,Happy,303.300000000279,1,High,132.899999999907
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,498.5,1,High,160.600000000093
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,336.5,1,High,136.899999999907
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,568.400000000373,1,High,136.599999999627
60,1,0.75,E,0,High,0,Happy,20,0,Happy,204.399999999907,1,High,112.600000000093
61,1,0.75,UE,1,Low,0,Happy,40,0,Happy,321.599999999627,1,High,92.5
62,1,0.75,UE,1,Low,0,Happy,20,0,Happy,344.299999999814,1,High,104.700000000186
63,1,0.75,E,0,High,0,Happy,20,0,Happy,526,1,High,88.9000000003725
64,1,0.75,E,1,Low,1,Sad,60,0,Happy,1987.80000000028,0,Low,128.100000000093
65,1,0.75,E,0,High,0,Happy,40,0,Happy,493.299999999814,1,High,76.5999999996275
66,1,0.75,E,1,Low,1,Sad,80,1,Sad,484.100000000093,1,High,192.5
67,1,0.75,UE,1,Low,0,Happy,0,0,Happy,446.699999999721,1,High,108.699999999721
68,1,0.75,E,0,High,0,Happy,40,1,Sad,886.299999999814,0,Low,300.699999999721
69,1,0.75,E,0,High,0,Happy,40,0,Happy,283.299999999814,1,High,108.700000000186
70,1,0.75,E,0,High,0,Happy,0,0,Happy,284.899999999907,1,High,141.300000000279
71,1,0.75,UE,1,Low,0,Happy,0,0,Happy,290.100000000093,1,High,128.899999999907
72,1,0.75,E,1,Low,1,Sad,60,1,Sad,695,0,Low,164.800000000279
73,1,0.75,E,0,High,0,Happy,40,0,Happy,631.899999999907,0,Low,241.700000000186
74,1,0.75,E,1,Low,1,Sad,100,1,Sad,569.200000000186,0,Low,161.299999999814
75,1,0.75,E,1,Low,1,Sad,100,1,Sad,416.899999999907,0,Low,164.300000000279
76,1,0.75,E,0,High,0,Happy,20,0,Happy,486,1,High,152.899999999907
77,1,0.75,UE,0,High,1,Sad,60,1,Sad,665.5,0,Low,124.899999999907
78,1,0.75,E,0,High,0,Happy,0,0,Happy,202,1,High,112.5
79,1,0.75,E,0,High,0,Happy,40,0,Happy,486.899999999907,0,Low,144.400000000373
80,1,0.75,UE,0,High,1,Sad,60,0,Happy,970.699999999721,0,Low,108.400000000373
81,1,0.75,E,0,High,0,Happy,40,0,Happy,344.600000000093,0,Low,120.799999999814
82,1,0.75,UE,0,High,1,Sad,80,1,Sad,417.5,0,Low,124.299999999814
83,1,0.75,E,0,High,0,Happy,0,0,Happy,324.699999999721,1,High,200.700000000186
84,1,0.75,E,0,High,0,Happy,20,0,Happy,391.399999999907,0,Low,220.700000000186
85,1,0.75,E,1,Low,1,Sad,100,1,Sad,316.099999999627,1,High,296.600000000093
86,1,0.75,E,1,Low,1,Sad,100,1,Sad,220.400000000373,1,High,233.899999999907
87,1,0.75,UE,1,Low,0,Happy,40,1,Sad,205.899999999907,1,High,429.800000000279
88,1,0.75,E,1,Low,1,Sad,80,1,Sad,401.399999999907,1,High,361.800000000279
89,1,0.75,E,0,High,0,Happy,0,0,Happy,260.800000000279,1,High,128.899999999907
90,1,0.75,UE,0,High,1,Sad,60,0,Happy,1133.29999999981,0,Low,100.400000000373
91,1,0.75,E,1,Low,1,Sad,60,0,Happy,600.300000000279,0,Low,100.600000000093
92,1,0.75,E,1,Low,1,Sad,80,1,Sad,343.900000000373,1,High,413.600000000093
93,1,0.75,E,0,High,0,Happy,20,0,Happy,359.900000000373,1,High,393.800000000279
94,1,0.75,E,0,High,0,Happy,20,0,Happy,299.699999999721,1,High,108.299999999814
95,1,0.75,UE,1,Low,0,Happy,40,0,Happy,881,0,Low,136.800000000279
96,1,0.75,E,1,Low,1,Sad,80,1,Sad,504.299999999814,1,High,372.699999999721
97,2,0.25,E,1,Low,0,Happy,0,0,Happy,382.700000000186,1,High,116.700000000186
98,2,0.25,UE,1,Low,1,Sad,80,1,Sad,652.600000000093,1,High,144
99,2,0.25,E,1,Low,0,Happy,40,0,Happy,788,0,Low,120.700000000186
100,2,0.25,E,1,Low,0,Happy,40,0,Happy,454.299999999814,0,Low,112.5
101,2,0.25,E,0,High,1,Sad,60,0,Happy,581,0,Low,114.099999999627
102,2,0.25,E,1,Low,0,Happy,20,0,Happy,408.5,1,High,301.100000000093
103,2,0.25,E,0,High,1,Sad,80,1,Sad,640.100000000093,1,High,141.399999999907
104,2,0.25,UE,1,Low,1,Sad,100,1,Sad,444.699999999721,1,High,92.1999999997206
105,2,0.25,E,1,Low,0,Happy,20,0,Happy,464.200000000186,1,High,100.800000000279
106,2,0.25,UE,1,Low,1,Sad,60,1,Sad,1642.70000000019,0,Low,349.5
107,2,0.25,UE,0,High,0,Happy,20,0,Happy,388.5,1,High,105.200000000186
108,2,0.25,E,0,High,1,Sad,100,1,Sad,667.600000000093,1,High,100.5
109,2,0.25,E,1,Low,0,Happy,40,0,Happy,503.300000000279,1,High,80.6000000000931
110,2,0.25,E,0,High,1,Sad,80,1,Sad,531.900000000373,0,Low,433.900000000373
111,2,0.25,E,0,High,1,Sad,60,1,Sad,818.700000000186,0,Low,124.700000000186
