Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,709,1,High,213
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,403,1,High,169
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,332,1,High,161
4,1,0.75,E,0,High,0,Happy,20,0,Happy,315,1,High,170
5,1,0.75,E,0,High,0,Happy,0,0,Happy,222,1,High,144
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,524,1,High,164
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,802,0,Low,165
8,1,0.75,E,0,High,0,Happy,20,0,Happy,353,1,High,166
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,406,1,High,125
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,478,1,High,144
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,323,1,High,185
12,1,0.75,E,0,High,0,Happy,40,0,Happy,1188,0,Low,162
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,1642,0,Low,188
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,1210,0,Low,277
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,516,0,Low,170
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,1341,0,Low,482
17,1,0.75,E,0,High,0,Happy,0,0,Happy,547,1,High,152
18,1,0.75,E,0,High,0,Happy,20,0,Happy,272,1,High,161
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,501,1,High,263
20,1,0.75,E,0,High,0,Happy,0,0,Happy,345,1,High,147
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,483,1,High,157
22,1,0.75,E,0,High,0,Happy,20,0,Happy,386,1,High,147
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,1520,1,High,305
24,1,0.75,E,0,High,0,Happy,40,0,Happy,821,0,Low,224
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,447,1,High,105
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,846,0,Low,168
27,1,0.75,E,0,High,0,Happy,0,0,Happy,504,1,High,162
28,1,0.75,E,0,High,0,Happy,0,0,Happy,324,1,High,145
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,1415,0,Low,576
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,486,1,High,165
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,700,0,Low,171
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,606,1,High,144
33,1,0.75,E,0,High,0,Happy,40,0,Happy,768,0,Low,205
34,1,0.75,E,0,High,0,Happy,40,0,Happy,771,0,Low,153
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,729,1,High,570
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,577,0,Low,566
37,1,0.75,E,0,High,0,Happy,40,0,Happy,623,0,Low,260
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,760,1,High,193
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,970,1,High,169
40,1,0.75,E,0,High,0,Happy,40,0,Happy,575,0,Low,193
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,517,1,High,110
42,1,0.75,E,0,High,0,Happy,20,0,Happy,349,1,High,113
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,425,1,High,154
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,601,1,High,213
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,1382,1,High,353
46,1,0.75,E,0,High,0,Happy,0,0,Happy,433,1,High,129
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,479,1,High,258
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,552,1,High,142
49,1,0.75,E,0,High,0,Happy,0,0,Happy,343,1,High,138
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,449,1,High,173
51,1,0.75,E,0,High,0,Happy,20,0,Happy,485,1,High,108
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,812,0,Low,200
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,568,1,High,108
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,432,1,High,165
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,377,1,High,140
56,1,0.75,E,0,High,0,Happy,0,0,Happy,458,1,High,93
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,431,1,High,85
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,623,1,High,136
