Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,1,Sad,2534.59999999963,1,High,2296.79999999888
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,875.200000001118,1,High,1058.59999999963
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,687.699999999255,1,High,918.5
4,1,0.75,E,0,High,0,Happy,20,0,Happy,517.799999998882,1,High,824.199999999255
5,1,0.75,E,0,High,0,Happy,0,0,Happy,435,1,High,355.800000000745
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,717,1,High,496.799999998882
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,1034.59999999963,1,High,443.5
8,1,0.75,E,0,High,0,Happy,20,0,Happy,675.300000000745,1,High,325.800000000745
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,846.700000001118,1,High,274.599999999627
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,457.099999999627,1,High,348.400000000373
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,762.699999999255,1,High,224.699999999255
12,1,0.75,E,0,High,0,Happy,40,0,Happy,480.5,1,High,241.200000001118
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,716,1,High,237.599999999627
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,754,1,High,213.099999999627
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,643.400000000373,1,High,198.400000000373
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,686.700000001118,1,High,170.699999999255
17,1,0.75,E,0,High,0,Happy,0,0,Happy,680.400000000373,1,High,222.900000000373
18,1,0.75,E,0,High,0,Happy,20,0,Happy,648.900000000373,1,High,248.900000000373
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,411.89999999851,1,High,232.89999999851
20,1,0.75,E,0,High,0,Happy,0,0,Happy,589.699999999255,1,High,211.400000000373
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,724.5,1,High,204.300000000745
22,1,0.75,E,0,High,0,Happy,20,1,Sad,1148.29999999888,1,High,323.5
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,1238.5,1,High,202
24,1,0.75,E,0,High,0,Happy,40,1,Sad,688.099999999627,1,High,341.300000000745
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,757.700000001118,1,High,215.799999998882
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,827.10000000149,1,High,199.10000000149
27,1,0.75,E,0,High,0,Happy,0,0,Happy,450.10000000149,1,High,182.800000000745
28,1,0.75,E,0,High,0,Happy,0,0,Happy,499.10000000149,1,High,135.699999999255
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,412.300000000745,1,High,143.699999999255
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,578.299999998882,1,High,145.799999998882
31,1,0.75,UE,1,Low,0,Happy,40,0,Happy,613.699999999255,1,High,165.300000000745
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,686.300000000745,1,High,205.300000000745
33,1,0.75,E,0,High,0,Happy,40,0,Happy,384.099999999627,1,High,198.799999998882
34,1,0.75,E,0,High,0,Happy,40,0,Happy,589,1,High,225.200000001118
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,572.700000001118,1,High,178.799999998882
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,535.300000000745,1,High,166.699999999255
37,1,0.75,E,0,High,0,Happy,40,1,Sad,702.099999999627,1,High,176.599999999627
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,1325.5,1,High,159.800000000745
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,1175.79999999888,1,High,161.199999999255
40,1,0.75,E,0,High,0,Happy,40,0,Happy,405.800000000745,1,High,224
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,1119.40000000037,1,High,141.400000000373
42,1,0.75,E,0,High,0,Happy,20,0,Happy,612.300000000745,1,High,151.699999999255
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,521.699999999255,1,High,160.900000000373
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,874,1,High,160.599999999627
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,570,1,High,164.900000000373
46,1,0.75,E,0,High,0,Happy,0,0,Happy,485,1,High,149.699999999255
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,591.699999999255,1,High,147.5
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,698.900000000373,1,High,189.10000000149
49,1,0.75,E,0,High,0,Happy,0,0,Happy,550.299999998882,1,High,202.699999999255
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,339,1,High,226.5
51,1,0.75,E,0,High,0,Happy,20,0,Happy,268.200000001118,1,High,245.799999998882
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,373.400000000373,1,High,193.900000000373
53,1,0.75,UE,1,Low,0,Happy,0,0,Happy,238.599999999627,1,High,300.799999998882
54,1,0.75,E,1,Low,1,Sad,100,1,Sad,390,1,High,239.799999998882
55,1,0.75,E,1,Low,1,Sad,100,1,Sad,532.699999999255,1,High,248.599999999627
56,1,0.75,E,0,High,0,Happy,0,0,Happy,365.099999999627,1,High,188.200000001118
57,1,0.75,E,1,Low,1,Sad,100,1,Sad,441.699999999255,1,High,234.199999999255
58,1,0.75,UE,0,High,1,Sad,100,1,Sad,620,1,High,286.89999999851
59,1,0.75,E,1,Low,1,Sad,80,1,Sad,490.099999999627,1,High,269.900000000373
60,1,0.75,E,0,High,0,Happy,20,0,Happy,753.400000000373,1,High,215.800000000745
61,1,0.75,UE,1,Low,0,Happy,40,0,Happy,1262.69999999925,1,High,200.300000000745
62,1,0.75,UE,1,Low,0,Happy,20,0,Happy,691.199999999255,1,High,138.799999998882
63,1,0.75,E,0,High,0,Happy,20,0,Happy,559.200000001118,1,High,144.89999999851
64,1,0.75,E,1,Low,1,Sad,60,1,Sad,606,1,High,140.699999999255
65,1,0.75,E,0,High,0,Happy,40,0,Happy,1410.90000000037,1,High,147.5
66,1,0.75,E,1,Low,1,Sad,80,1,Sad,515.900000000373,1,High,162.200000001118
67,1,0.75,UE,1,Low,0,Happy,0,0,Happy,514.10000000149,1,High,117
68,1,0.75,E,0,High,0,Happy,40,1,Sad,1093.09999999963,1,High,260.10000000149
69,1,0.75,E,0,High,0,Happy,40,1,Sad,446.099999999627,1,High,157.799999998882
70,1,0.75,E,0,High,0,Happy,0,0,Happy,438.599999999627,1,High,143.099999999627
71,1,0.75,UE,1,Low,0,Happy,0,0,Happy,875.300000000745,1,High,117.699999999255
72,1,0.75,E,1,Low,1,Sad,60,1,Sad,496.199999999255,1,High,206.700000001118
73,1,0.75,E,0,High,0,Happy,40,0,Happy,519.400000000373,1,High,99.1000000014901
74,1,0.75,E,1,Low,1,Sad,100,1,Sad,1083.5,1,High,138.699999999255
75,1,0.75,E,1,Low,1,Sad,100,1,Sad,815.300000000745,1,High,153.700000001118
76,1,0.75,E,0,High,0,Happy,20,0,Happy,724.900000000373,1,High,92.2999999988824
77,1,0.75,UE,0,High,1,Sad,60,1,Sad,923.800000000745,1,High,117.700000001118
78,1,0.75,E,0,High,0,Happy,0,0,Happy,490.400000000373,1,High,85.6999999992549
79,1,0.75,E,0,High,0,Happy,40,1,Sad,618.599999999627,1,High,129.599999999627
80,1,0.75,UE,0,High,1,Sad,60,1,Sad,1072.59999999963,1,High,1972.19999999925
81,1,0.75,E,0,High,0,Happy,40,1,Sad,751.599999999627,1,High,202.300000000745
82,1,0.75,UE,0,High,1,Sad,80,1,Sad,649,1,High,223.599999999627
83,1,0.75,E,0,High,0,Happy,0,0,Happy,769.199999999255,1,High,306.400000000373
84,1,0.75,E,0,High,0,Happy,20,0,Happy,545,1,High,380.300000000745
85,1,0.75,E,1,Low,1,Sad,100,1,Sad,472.599999999627,1,High,277
86,1,0.75,E,1,Low,1,Sad,100,1,Sad,458.800000000745,1,High,243.900000000373
87,1,0.75,UE,1,Low,0,Happy,40,0,Happy,798.200000001118,1,High,199.599999999627
88,1,0.75,E,1,Low,1,Sad,80,1,Sad,1771.59999999963,0,Low,1252.5
89,1,0.75,E,0,High,0,Happy,0,0,Happy,688.299999998882,1,High,264.900000000373
90,1,0.75,UE,0,High,1,Sad,60,1,Sad,488.5,1,High,180.799999998882
91,1,0.75,E,1,Low,1,Sad,60,1,Sad,543.800000000745,1,High,160.5
92,1,0.75,E,1,Low,1,Sad,80,1,Sad,388.099999999627,1,High,224.599999999627
93,1,0.75,E,0,High,0,Happy,20,0,Happy,427.299999998882,1,High,197
94,1,0.75,E,0,High,0,Happy,20,0,Happy,632.199999999255,1,High,207.099999999627
95,1,0.75,UE,1,Low,0,Happy,40,1,Sad,680.800000000745,1,High,231.800000000745
96,1,0.75,E,1,Low,1,Sad,80,1,Sad,388.799999998882,1,High,201.800000000745
97,2,0.25,E,1,Low,0,Happy,0,0,Happy,576.300000000745,1,High,237.200000001118
98,2,0.25,UE,1,Low,1,Sad,80,0,Happy,1490,1,High,149.700000001118
99,2,0.25,E,1,Low,0,Happy,40,1,Sad,532.199999999255,1,High,214.800000000745
100,2,0.25,E,1,Low,0,Happy,40,1,Sad,625.099999999627,1,High,252.5
101,2,0.25,E,0,High,1,Sad,60,1,Sad,546.60000000149,1,High,310
102,2,0.25,E,1,Low,0,Happy,20,1,Sad,880.799999998882,1,High,169.5
103,2,0.25,E,0,High,1,Sad,80,1,Sad,2127.19999999925,0,Low,689.800000000745
104,2,0.25,UE,1,Low,1,Sad,100,1,Sad,831.900000000373,1,High,276.699999999255
105,2,0.25,E,1,Low,0,Happy,20,0,Happy,482.199999999255,1,High,270.400000000373
106,2,0.25,UE,1,Low,1,Sad,60,1,Sad,510.099999999627,1,High,285
107,2,0.25,UE,0,High,0,Happy,20,0,Happy,1167.59999999963,1,High,361.900000000373
108,2,0.25,E,0,High,1,Sad,100,1,Sad,635.300000000745,1,High,279.300000000745
109,2,0.25,E,1,Low,0,Happy,40,0,Happy,619.900000000373,1,High,283.099999999627
110,2,0.25,E,0,High,1,Sad,80,1,Sad,547.099999999627,1,High,267.099999999627
111,2,0.25,E,0,High,1,Sad,60,1,Sad,1024.20000000112,1,High,297.099999999627
112,2,0.25,E,1,Low,0,Happy,0,0,Happy,611.099999999627,1,High,299.300000000745
113,2,0.25,UE,0,High,0,Happy,40,1,Sad,527.599999999627,1,High,303.400000000373
114,2,0.25,E,0,High,1,Sad,80,1,Sad,1257,1,High,266.800000000745
115,2,0.25,E,0,High,1,Sad,100,1,Sad,467.699999999255,1,High,292.300000000745
116,2,0.25,E,0,High,1,Sad,60,0,Happy,810.200000001118,1,High,108
117,2,0.25,E,1,Low,0,Happy,0,0,Happy,547.900000000373,1,High,114.10000000149
118,2,0.25,E,1,Low,0,Happy,20,0,Happy,463.900000000373,1,High,113.900000000373
119,2,0.25,UE,0,High,0,Happy,0,0,Happy,483.400000000373,1,High,112.099999999627
120,2,0.25,E,0,High,1,Sad,100,1,Sad,651.5,1,High,204.400000000373
121,3,0.75,E,0,High,0,Happy,0,0,Happy,450.800000000745,1,High,196.099999999627
122,3,0.75,E,0,High,0,Happy,40,1,Sad,688.400000000373,1,High,423.10000000149
123,3,0.75,E,0,High,0,Happy,0,0,Happy,377.099999999627,1,High,200.5
124,3,0.75,E,1,Low,1,Sad,80,1,Sad,515.800000000745,1,High,264
125,3,0.75,E,1,Low,1,Sad,60,1,Sad,393.900000000373,1,High,243.900000000373
126,3,0.75,UE,0,High,1,Sad,100,1,Sad,495.800000000745,1,High,195
127,3,0.75,E,0,High,0,Happy,20,0,Happy,582.800000000745,1,High,184.799999998882
128,3,0.75,E,0,High,0,Happy,40,1,Sad,814.300000000745,1,High,367.199999999255
129,3,0.75,UE,1,Low,0,Happy,20,0,Happy,746.60000000149,1,High,387
130,3,0.75,E,1,Low,1,Sad,100,1,Sad,615,1,High,272
131,3,0.75,E,0,High,0,Happy,40,1,Sad,624.60000000149,1,High,284.5
132,3,0.75,UE,1,Low,0,Happy,40,1,Sad,650.400000000373,1,High,223.699999999255
133,3,0.75,UE,0,High,1,Sad,60,1,Sad,646,1,High,240.900000000373
134,3,0.75,E,1,Low,1,Sad,80,1,Sad,555.900000000373,1,High,321.300000000745
