Trial_N,Block_N,Contingency,Expectedness,Cue_idx,Cue_name,Outcome_idx,Outcome_name,Outcome_p_sad,Response_idx,Response_name,Response_RT,Confidence_idx,Confidence_name,Confidence_RT
1,1,0.75,E,1,Low,1,Sad,80,0,Happy,1152.89999999851,0,Low,1368.5
2,1,0.75,E,1,Low,1,Sad,100,1,Sad,971.5,1,High,873.30000000447
3,1,0.75,E,1,Low,1,Sad,80,1,Sad,1023.30000000447,1,High,1169.29999999702
4,1,0.75,E,0,High,0,Happy,20,0,Happy,1058.19999999553,1,High,761.29999999702
5,1,0.75,E,0,High,0,Happy,0,0,Happy,1063.40000000596,1,High,593.60000000149
6,1,0.75,UE,0,High,1,Sad,100,1,Sad,1720.10000000149,0,Low,544.59999999404
7,1,0.75,E,1,Low,1,Sad,60,1,Sad,730.60000000149,0,Low,598.79999999702
8,1,0.75,E,0,High,0,Happy,20,0,Happy,824,1,High,689.10000000149
9,1,0.75,UE,1,Low,0,Happy,20,0,Happy,482.5,1,High,506
10,1,0.75,E,1,Low,1,Sad,100,1,Sad,632.10000000149,1,High,1033
11,1,0.75,E,1,Low,1,Sad,60,1,Sad,621.89999999851,1,High,632.29999999702
12,1,0.75,E,0,High,0,Happy,40,0,Happy,501.10000000149,1,High,545.40000000596
13,1,0.75,E,1,Low,1,Sad,60,1,Sad,540.5,1,High,898
14,1,0.75,E,1,Low,1,Sad,60,1,Sad,451.80000000447,1,High,368.70000000298
15,1,0.75,E,1,Low,1,Sad,60,1,Sad,433.89999999851,1,High,466.20000000298
16,1,0.75,UE,0,High,1,Sad,80,1,Sad,845.20000000298,1,High,633.30000000447
17,1,0.75,E,0,High,0,Happy,0,0,Happy,652.5,1,High,362
18,1,0.75,E,0,High,0,Happy,20,0,Happy,582.39999999851,1,High,305.60000000149
19,1,0.75,E,1,Low,1,Sad,80,1,Sad,557.10000000149,1,High,817.10000000149
20,1,0.75,E,0,High,0,Happy,0,0,Happy,426.39999999851,1,High,369.80000000447
21,1,0.75,UE,0,High,1,Sad,100,1,Sad,570.60000000149,0,Low,1330.30000000447
22,1,0.75,E,0,High,0,Happy,20,0,Happy,416.5,1,High,401.40000000596
23,1,0.75,E,1,Low,1,Sad,60,1,Sad,472,1,High,665.10000000149
24,1,0.75,E,0,High,0,Happy,40,0,Happy,457.60000000149,1,High,353.19999999553
25,1,0.75,UE,1,Low,0,Happy,0,0,Happy,573,1,High,600.5
26,1,0.75,E,1,Low,1,Sad,80,1,Sad,502.79999999702,1,High,714.19999999553
27,1,0.75,E,0,High,0,Happy,0,0,Happy,490.10000000149,1,High,289.5
28,1,0.75,E,0,High,0,Happy,0,0,Happy,443.29999999702,1,High,321.5
29,1,0.75,E,1,Low,1,Sad,60,1,Sad,403.5,0,Low,961.10000000149
30,1,0.75,E,1,Low,1,Sad,100,1,Sad,434.60000000149,1,High,537.39999999851
31,1,0.75,UE,1,Low,0,Happy,40,1,Sad,582.40000000596,0,Low,1657.19999999553
32,1,0.75,UE,0,High,1,Sad,100,1,Sad,574.39999999851,1,High,825.5
33,1,0.75,E,0,High,0,Happy,40,0,Happy,624.5,1,High,393.59999999404
34,1,0.75,E,0,High,0,Happy,40,0,Happy,468.80000000447,1,High,313.69999999553
35,1,0.75,E,1,Low,1,Sad,80,1,Sad,607.09999999404,0,Low,925.5
36,1,0.75,E,1,Low,1,Sad,60,1,Sad,520.30000000447,1,High,745.10000000149
37,1,0.75,E,0,High,0,Happy,40,0,Happy,455.40000000596,1,High,465.09999999404
38,1,0.75,UE,0,High,1,Sad,80,1,Sad,1074.89999999851,0,Low,529.70000000298
39,1,0.75,E,1,Low,1,Sad,60,1,Sad,1995.39999999851,0,Low,585.5
40,1,0.75,E,0,High,0,Happy,40,0,Happy,412.39999999851,1,High,538
41,1,0.75,UE,1,Low,0,Happy,20,0,Happy,548,1,High,505.60000000149
42,1,0.75,E,0,High,0,Happy,20,0,Happy,476,1,High,377.60000000149
43,1,0.75,E,1,Low,1,Sad,100,1,Sad,693,0,Low,609.39999999851
44,1,0.75,UE,0,High,1,Sad,80,1,Sad,550,0,Low,722.19999999553
45,1,0.75,E,1,Low,1,Sad,100,1,Sad,697.5,0,Low,687.80000000447
46,1,0.75,E,0,High,0,Happy,0,0,Happy,540.29999999702,1,High,441.70000000298
47,1,0.75,E,1,Low,1,Sad,80,1,Sad,380.89999999851,1,High,745.39999999851
48,1,0.75,UE,1,Low,0,Happy,20,0,Happy,1896.59999999404,1,High,977.79999999702
49,1,0.75,E,0,High,0,Happy,0,0,Happy,579.80000000447,1,High,474.5
50,1,0.75,E,1,Low,1,Sad,80,1,Sad,420.89999999851,1,High,745.60000000149
51,1,0.75,E,0,High,0,Happy,20,0,Happy,496.79999999702,1,High,410.10000000149
52,1,0.75,UE,0,High,1,Sad,60,1,Sad,955.39999999851,0,Low,609.69999999553
