ID,Safe_om2,Safe_al,Safe_logal,Safe_zeta0,Safe_logzeta0,Safe_zeta1,Safe_beta0,Safe_beta1,Safe_beta2,Safe_beta3,Safe_beta4,Safe_sa,Safe_logsa,Threat_om2,Threat_al,Threat_logal,Threat_zeta0,Threat_logzeta0,Threat_zeta1,Threat_beta0,Threat_beta1,Threat_beta2,Threat_beta3,Threat_beta4,Threat_sa,Threat_logsa,Delta_om2,Delta_al,Delta_logal,Delta_zeta0,Delta_logzeta0,Delta_zeta1,Delta_beta0,Delta_beta1,Delta_beta2,Delta_beta3,Delta_beta4,Delta_sa,Delta_logsa
10369536,-4.49710623456694,0.0453007450194842,-3.09443180028216,0.70163443284164,-0.354342761532022,4.21121808142115,7.26117186673537,-0.00229486123429473,-3.25076990211205,-1.67991958157781,0.335969049555965,0.123338086420359,-2.09282602421111,-1.2140976125889,0.0440518213871177,-3.12238857927956,0.735069861811496,-0.307789734202605,3.72036388574565,6.05880548887909,-0.00562145186112851,0.393487686848016,1.0395933798603,0.72847766025912,0.120316844282639,-2.11762664682869,3.28300862197804,-0.0012489236323665,-0.0279567789973987,0.0334354289698565,0.0465530273294167,-0.490854195675498,-1.20236637785628,-0.00332659062683378,3.64425758896007,2.7195129614381,0.392508610703155,-0.00302124213772048,-0.0248006226175783
10369701,-2.5995515709139,0.0634009816178348,-2.75827593472767,0.428940590673923,-0.846436852921383,1.47497921042775,6.27839804280894,0.113940192606573,2.04359553980969,-1.17933927966078,0.649705997185449,0.154477927899429,-1.86770405434238,-5.16990629269389,0.797587710136653,-0.226163469008069,0.545604313797745,-0.605861265963348,0.761230124431866,5.80560485172646,0.232679672609986,0.387204433771818,-0.204896784486448,0.375664847896318,0.70751838164428,-0.345991668679591,-2.57035472177999,0.734186728518819,2.5321124657196,0.116663723123821,0.240575586958034,-0.713749085995887,-0.472793191082483,0.118739480003413,-1.65639110603787,0.974442495174335,-0.27404114928913,0.553040453744851,1.52171238566279
10369772,-0.818266074247159,0.100446572645565,-2.29812930830763,0.391992965071914,-0.936511385597827,1.15852501196671,5.93785417853681,0.128146360250591,1.5025552902622,-1.31733911125315,0.261669539345599,0.355503682421133,-1.03421967136455,0.678511704807721,0.0360412677068079,-3.32309067186596,0.243721590470883,-1.41172872781121,-0.25891410323737,5.72649691477149,0.0592398940480962,1.5980500382594,-0.107606585143923,0.362247159737982,0.187195855326694,-1.6755998555326,1.49677777905488,-0.0644053049387568,-1.02496136355833,-0.148271374601031,-0.475217342213381,-1.41743911520408,-0.211357263765318,-0.0689064662024951,0.095494747997199,1.20973252610922,0.100577620392383,-0.168307827094439,-0.641380184168055
10369779,-1.86434823986075,0.033037719779216,-3.41010534665718,0.415279738097096,-0.878802918129187,1.22107392081709,6.96136699005081,0.13882506244713,-0.434828643181456,-4.59418049160802,0.83999814203141,0.161557770822442,-1.822892486213,-2.8417915450743,0.0447956388000739,-3.10564449251248,0.552849924521267,-0.59266869852034,2.07027478438092,6.08835614639231,0.0763057328604962,1.45814525621377,-2.36653985175753,0.601547537659661,0.102406665563785,-2.27880347509887,-0.977443305213547,0.0117579190208579,0.3044608541447,0.137570186424171,0.286134219608848,0.849200863563831,-0.873010843658504,-0.0625193295866335,1.89297389939523,2.22764063985049,-0.238450604371749,-0.0591511052586569,-0.455910988885872
10369781,-3.09282605778089,0.0651214496972299,-2.7315012956003,0.497345064286923,-0.698471199456436,1.2489762530003,6.32080600765365,0.122036440429673,1.27868934906568,-3.39344919022947,0.461453126065583,0.107776615176893,-2.22769457189763,-1.56575476235477,0.0635420405951587,-2.75605353552962,0.428626131018501,-0.847170229489205,-0.683683447404788,6.59196635844857,-0.0262954504003976,-1.13979136564844,-0.0325243960749874,0.583936177275997,0.169402079557043,-1.77548022082393,1.52707129542612,-0.00157940910207124,-0.0245522399293217,-0.0687189332684224,-0.148699030032769,-1.93265970040508,0.271160350794918,-0.148331890830071,-2.41848071471411,3.36092479415448,0.122483051210414,0.0616254643801507,0.452214351073702
10369795,-4.13636823816944,0.0672524402571726,-2.69930197480651,2.11004520495608,0.746709371408281,3.30185348673749,6.11581838713701,0.0922723829016419,1.31281268210988,-2.99481496369081,-0.0856585263795278,0.18139666335404,-1.70706913532893,-2.38449701033424,0.0513636590406079,-2.9688243791356,1.52911941280533,0.424692022527428,4.73078176363691,5.92102689182382,0.105359852724397,1.50320447039322,-1.20394066561763,-0.0706452188906498,0.126883163684483,-2.06448858694489,1.7518712278352,-0.0158887812165648,-0.269522404329091,-0.580925792150744,-0.322017348880853,1.42892827689942,-0.194791495313195,0.0130874698227555,0.190391788283346,1.79087429807318,0.015013307488878,-0.0545134996695563,-0.357419451615967
10369812,-1.44787412946859,0.0274078482950394,-3.59692587247701,0.649287816178628,-0.4318791841923,2.21569831292045,6.20581262756671,0.254995828371808,3.13884154495396,-3.6215976001373,1.12326995446438,0.176647260484545,-1.73360041345152,0.0802551928424522,0.0231406225272886,-3.76616565492987,0.605232213704443,-0.502143070288136,1.21176256656904,6.57147009325439,0.095754071824679,-0.354054574878748,-0.772645608891885,0.484778278146524,0.108305078796101,-2.22280323045056,1.52812932231104,-0.00426722576775081,-0.169239782452867,-0.0440556024741843,-0.0702638860958354,-1.00393574635141,0.365657465687679,-0.159241756547129,-3.49289611983271,2.84895199124541,-0.638491676317852,-0.0683421816884441,-0.489202816999034
10369815,-6.13090622560084,0.0497054368732355,-3.00164095803495,1.71317311877196,0.538347275982206,-1.0962073162013,6.13320705330027,0.12985421355876,-0.532532815606941,0.0067688002117048,1.8169181546237,0.112546031108597,-2.18439297561325,-2.11695330497268,0.0256757826863313,-3.66220703925703,0.559450725048784,-0.580799824726415,-1.66078378957027,6.40587622356087,-0.0128363722613151,-0.779152017252777,-1.27641635791137,2.14832101970281,0.10870811139241,-2.21908886581375,4.01395292062816,-0.0240296541869042,-0.660566081222083,-1.15372239372317,-1.11914710070862,-0.564576473368977,0.272669170260596,-0.142690585820075,-0.246619201645836,-1.28318515812308,0.331402865079108,-0.00383791971618715,-0.0346958902004948
10369821,-2.45085214071162,0.0336545048623476,-3.39160835778494,0.680673937704282,-0.384671886753089,-0.493591178013171,6.68490416737329,0.150663769458614,0.538984924714485,-5.95618570407734,0.808485921997214,0.0770380290310079,-2.56345609552919,0.829796940741003,0.0265299942900167,-3.62947932605992,0.518433456697951,-0.65694359764319,0.204742105242715,5.79710013198691,0.0329812411507178,0.57814148597018,0.4063802238461,0.526628077031968,0.062531804878501,-2.77207997361829,3.28064908145262,-0.00712451057233089,-0.237870968274986,-0.162240481006331,-0.272271710890102,0.698333283255886,-0.887804035386378,-0.117682528307896,0.0391565612556952,6.36256592792344,-0.281857844965245,-0.0145062241525069,-0.208623878089099
10369833,-2.48657463266369,0.038944570111891,-3.24561592301006,0.66463371876389,-0.408519188922987,0.189535801336968,6.2841470626454,0.126099561355939,0.848022853629667,-3.77529754891161,1.30144334210484,0.161414879301659,-1.82377733841365,-4.32227570787603,0.0483464683688755,-3.02936210279351,1.44539051315804,0.368379536373528,0.356661930707507,5.98996063249241,0.0611157878278057,-0.364852598208912,0.0524881160144117,1.75928568231148,0.156074866966747,-1.85741947040216,-1.83570107521234,0.00940189825698448,0.216253820216549,0.78075679439415,0.776898725296515,0.167126129370539,-0.294186430152997,-0.0649837735281334,-1.21287545183858,3.82778566492602,0.457842340206642,-0.00534001233491199,-0.0336421319885096
