ID,Group,Safe_Check_1,Safe_Check_2,Safe_Check_3,Threat_Check_1,Threat_Check_2,Threat_Check_3
12655423,D,1,1,1,1,1,1
12655440,D,1,1,1,1,1,1
12655454,D,1,1,1,1,1,1
12655458,D,1,1,1,1,1,1
12655519,D,1,1,1,1,1,1
12655548,D,1,1,1,1,1,1
12655627,D,1,1,1,1,1,1
12655846,D,0,0,1,1,1,1
12655961,D,1,1,1,1,1,1
12656164,D,1,1,1,1,1,1
12656276,D,1,1,1,0,1,1
12656299,D,1,1,1,1,1,1
12656304,D,1,1,1,1,1,1
12656324,D,1,1,1,1,1,1
12656325,D,1,1,1,1,1,1
12656346,D,1,1,1,1,1,1
12656354,D,1,1,1,1,1,1
12656399,D,1,1,1,1,1,1
12656534,D,1,1,1,1,1,1
12657102,D,1,1,1,1,1,1
12657220,D,0,1,1,1,1,1
12711998,D,1,1,1,1,1,1
12712328,D,1,1,1,1,1,1
12712776,D,1,1,1,1,1,1
12713580,D,1,1,1,1,1,1
12714052,D,1,1,1,1,1,1
